item	page_id	paragraph_id	source_pdf	scan_page	category	annotation	context	proposed_correction	reviewer_and_date	evidence
04-002-U009	04-002	04-002-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible]]	f May - The Gentleman awaits on me & [[illegible]] you a too bad [[illegible]]. Please write to me all the news immediately Let me know how you		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-002-U010	04-002	04-002-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible]]	y Let me know how you are all getting along I have been going to [[illegible]] - Wish I could come & see you but I could [[illegible]].		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-002-U011	04-002	04-002-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible]]	going to [[illegible]] - Wish I could come & see you but I could [[illegible]].		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-002-U012	04-002	04-002-P05	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	unread writing	[[illegible: closing]]	[[illegible: closing]] / [[J. H. Scott?]]		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-002-U013	04-002	04-002-P05	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	2	tentative reading	[[J. H. Scott?]]	[[illegible: closing]] / [[J. H. Scott?]]	Conflicting independent readings: J. H.? Scott	2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Marker kept. family reading edition (independent image reading, editions/family/Plain-text) reads '[J. H.?] Scott'; the surname is agreed, initials remain doubtful.
04-003-U001	04-003	04-003-P01	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	3	unread writing	[[illegible]]	George Douglas / Co C / [[illegible]] Regt / Sab Pass		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. Regiment designation on the address panel; family reading edition (independent image reading, editions/family/Plain-text) reads '6th Texas' but marks the remainder unclear; the two readings do not agree and no unit name is confirmed elsewhere in the supplied papers (see digest, George Douglas's unit).
04-004-U001	04-004	04-004-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	tentative reading	[[Bro?]]	Mr George Douglas / Dear [[Bro?]] & Cousin,	Conflicting independent readings: Bro	2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Marker kept. family reading edition (independent image reading, editions/family/Plain-text) reads 'dear cousin' only; 'Bro & Cousin' would be a religious form of address (Henry Douglas the cousin is a Church of Christ member); unresolved.
04-004-U002	04-004	04-004-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	y Whereabouts After an absence of twenty odd months I arrived at [[illegible]] on 22d of the month Since which time I have mingled with the fri		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. family reading edition (independent image reading, editions/family/Plain-text) reads 'arrived here on the second or third'; annotated reads 'on 22d'; heavy interference; unresolved.
04-004-U003	04-004	04-004-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	he month Since which time I have mingled with the friends of the [[illegible]]. Truly I have had a pleasant time - The courteous manner in whic		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U004	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[deleted: illegible]]	 last Sept but have never learned the destination of my letter - [[deleted: illegible]] you did not return it, [[deleted: illegible]] if you did I did n		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U005	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[deleted: illegible]]	ion of my letter - [[deleted: illegible]] you did not return it, [[deleted: illegible]] if you did I did not reply [[illegible]] this one will not prove		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U006	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	not return it, [[deleted: illegible]] if you did I did not reply [[illegible]] this one will not prove offensive to you. Since Feb 1st - I have		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U007	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	forage for the Command. Was engaged in this business two months. [[illegible]] of my [[Solitariness?]] passed more pleasantly the first month e		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U008	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	tentative reading	[[Solitariness?]]	nd. Was engaged in this business two months. [[illegible]] of my [[Solitariness?]] passed more pleasantly the first month excepted than [[illegible	Solitariness	2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Suggested reading, marker kept (low confidence). Word fits 'passed more pleasantly'; no independent support.
04-004-U009	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	"tariness?]] passed more pleasantly the first month excepted than [[illegible]] to you all ""bibs"", and as a matter of course, [[illegible]] plea"		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U010	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	"than [[illegible]] to you all ""bibs"", and as a matter of course, [[illegible]] pleased more than the ladies in the prettiest Looks - Smiles & k"		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U011	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	d more than the ladies in the prettiest Looks - Smiles & kindest [[illegible]] and when the pot boiled the strongest and being not entirely [[i		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U012	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	e]] and when the pot boiled the strongest and being not entirely [[illegible]] of the influence of the gentle fair, on some occasions I [[illeg		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U013	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	gible]] of the influence of the gentle fair, on some occasions I [[illegible]] their claims. And was almost persuaded (I like to have said take		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U014	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	"s. And was almost persuaded (I like to have said taken unawares) [[illegible]] the ""equal"" in [[gentility?]] & [[illegible]] of the Young ladie"		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U015	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	tentative reading	[[gentility?]]	"I like to have said taken unawares) [[illegible]] the ""equal"" in [[gentility?]] & [[illegible]] of the Young ladies of my former [[illegible]] -"	gentility	2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Suggested reading, marker kept (low confidence). Sense fits; no independent support.
04-004-U016	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	"id taken unawares) [[illegible]] the ""equal"" in [[gentility?]] & [[illegible]] of the Young ladies of my former [[illegible]] - The brindle of "		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U017	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	 [[gentility?]] & [[illegible]] of the Young ladies of my former [[illegible]] - The brindle of my acquaintances [[illegible]] shirts [[illegib		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U018	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	ies of my former [[illegible]] - The brindle of my acquaintances [[illegible]] shirts [[illegible]] as they seem to have especial claims of Sup		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U019	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	legible]] - The brindle of my acquaintances [[illegible]] shirts [[illegible]] as they seem to have especial claims of Superiority [[illegible]		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-004-U020	04-004	04-004-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	4	unread writing	[[illegible]]	[illegible]] as they seem to have especial claims of Superiority [[illegible]].		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U001	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	tentative reading	[[Joda?]]	[[separate block]] / [[Joda?]] remembers you has a very loving hand & I am sure would like to [	Joda	2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Suggested reading, marker kept (moderate confidence). Joda is a recurring member of the household (06-069, 06-072, 06-086, 06-107, 06-109); reading consistent with the family's usage.
04-005-U002	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	] remembers you has a very loving hand & I am sure would like to [[illegible]] with you - So if you wish to [[illegible]] you & her [[illegible		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U003	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	am sure would like to [[illegible]] with you - So if you wish to [[illegible]] you & her [[illegible]] agree upon the condition of getting [[il		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U004	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	illegible]] with you - So if you wish to [[illegible]] you & her [[illegible]] agree upon the condition of getting [[illegible]] - I must say [		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U005	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	le]] you & her [[illegible]] agree upon the condition of getting [[illegible]] - I must say [[illegible]] [[partly?]] hard [[illegible]] perhap		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U006	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	] agree upon the condition of getting [[illegible]] - I must say [[illegible]] [[partly?]] hard [[illegible]] perhaps you can [[illegible]]. Co		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U007	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	tentative reading	[[partly?]]	he condition of getting [[illegible]] - I must say [[illegible]] [[partly?]] hard [[illegible]] perhaps you can [[illegible]]. Cousin Lizzie 		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U008	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	etting [[illegible]] - I must say [[illegible]] [[partly?]] hard [[illegible]] perhaps you can [[illegible]]. Cousin Lizzie carries [[illegible		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U009	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	say [[illegible]] [[partly?]] hard [[illegible]] perhaps you can [[illegible]]. Cousin Lizzie carries [[illegible]] with her & now sits near me		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U010	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	illegible]] perhaps you can [[illegible]]. Cousin Lizzie carries [[illegible]] with her & now sits near me [[perusing?]] a Letter Which purport		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U011	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	tentative reading	[[perusing?]]	 Cousin Lizzie carries [[illegible]] with her & now sits near me [[perusing?]] a Letter Which purports to have come from [[illegible]] the [[il		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. family reading edition (independent image reading, editions/family/Plain-text) renders the passage differently ('has now received a letter'); unresolved.
04-005-U012	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	 near me [[perusing?]] a Letter Which purports to have come from [[illegible]] the [[illegible]].		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U013	04-005	04-005-P02	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	g?]] a Letter Which purports to have come from [[illegible]] the [[illegible]].		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U014	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	Well George I could see a young lady Who I think is the [[illegible]] in my quarters [[illegible]] during the [[illegible]] took [[ill		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U015	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	see a young lady Who I think is the [[illegible]] in my quarters [[illegible]] during the [[illegible]] took [[illegible]] to speak in glowing 		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U016	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	ink is the [[illegible]] in my quarters [[illegible]] during the [[illegible]] took [[illegible]] to speak in glowing terms of you. Which [[ill		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U017	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	ble]] in my quarters [[illegible]] during the [[illegible]] took [[illegible]] to speak in glowing terms of you. Which [[illegible]] led [[ille		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U018	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	ble]] took [[illegible]] to speak in glowing terms of you. Which [[illegible]] led [[illegible]] of meaning [[deleted: illegible]] that I am wa		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U019	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	ible]] to speak in glowing terms of you. Which [[illegible]] led [[illegible]] of meaning [[deleted: illegible]] that I am warranted in saying 		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U020	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[deleted: illegible]]	g terms of you. Which [[illegible]] led [[illegible]] of meaning [[deleted: illegible]] that I am warranted in saying [[illegible]] have no fears, but t		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U021	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	 of meaning [[deleted: illegible]] that I am warranted in saying [[illegible]] have no fears, but that all will be well [[illegible]] any [[adh		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U022	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	in saying [[illegible]] have no fears, but that all will be well [[illegible]] any [[adherers?]].		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U023	04-005	04-005-P03	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	tentative reading	[[adherers?]]	ble]] have no fears, but that all will be well [[illegible]] any [[adherers?]].		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U024	04-005	04-005-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	Well George - As [[illegible]] of [[illegible]] and [[illegible]] - I will tell you that [[dele		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U025	04-005	04-005-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	Well George - As [[illegible]] of [[illegible]] and [[illegible]] - I will tell you that [[deleted: illegible]] 		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U026	04-005	04-005-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[illegible]]	Well George - As [[illegible]] of [[illegible]] and [[illegible]] - I will tell you that [[deleted: illegible]] the effect of Gene		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
04-005-U027	04-005	04-005-P04	ACU CRS MS5 - 04 - Folder 1, Correspondence and Loan Papers.pdf	5	unread writing	[[deleted: illegible]]	ible]] of [[illegible]] and [[illegible]] - I will tell you that [[deleted: illegible]] the effect of General Remarks Since my arrival - If there is any		2026-09-20 contextual review (AI-assisted for Volney Douglas; scans not consulted)	Reviewed; no proposal. No basis to alter the reading from context, internal recurrence or the independent family edition; the scan must be consulted.
